紅色 式不要的										
address 前面相同的也不要										
										
										
										
										
										
										
可以代表所有人的 就用所有人代表，例如 某地址 有很多相同的										
										
							class			
							百貨公司			
							購物中心			
							商店			
							平價超級市場			
							批發店			
							大型超級市場			
							超級市場		藥房	
							五金用品店			
							家居用品店		小北	
										五金用品店
										
										
name	star	comment	class	address	latitude	longitude				
聖隆五金、水電材料行	4.5	85	五金用品店	台北市內湖區內湖路一段63號	25.0849309	121.5601862				
慶皇	4.2	20	五金用品店	台北市士林區士商路72號2樓	25.0909319	121.519746				
承鎰鏍絲企業有限公司	4.5	13	五金用品店	台北市大同區萬全街78號	25.0584043	121.5184812				
聯美五金百貨	4.3	332	五金用品店	台北市大安區復興南路二段151巷6-1號	25.0283006	121.5442535				
聯合百貨十元五金行	4	25	五金用品店	台北市文山區景美街32號	24.9911189	121.5417896				
龍鈦五金有限公司 角鋼	4.1	21	五金用品店	台北市松山區八德路四段435號	25.0498688	121.5702264				
嘉成五金有限公司	4.2	29	五金用品店	台北市松山區八德路四段429號	25.0496999	121.5699965				
和慶五金	3.1	9	五金用品店	台北市松山區八德路三段12巷51弄32號	25.0460485	121.5517778				
鴻霖螺絲五金有限公司	4.2	676	五金用品店	台北市南港區玉成街72號1樓	25.0465255	121.5823064				
好鄰居生活百貨-和平安居店	4.2	18	五金用品店	台北市大安區安居街4號	25.0213855	121.5551786				
小胖家族生活五金百貨	0	0	五金用品店	台北市文山區指南路一段30號	24.9875765	121.5695824				
小北百貨 台北康定店	4	1	五金用品店	台北市萬華區康定路338號	25.0354222	121.5011051				
億萬里特賣廣場	4.2	1	五金用品店	台北市萬華區廣州街146號	25.0365818	121.5007016				
三越五金有限公司	0	0	五金用品店	台北市萬華區環河南路一段110號	25.046936	121.5041757				
元大鑫五金有限公司	4.6	28	五金用品店	台北市萬華區西昌街93號	25.0411846	121.5009106				
名億五金有限公司	4.8	81	五金用品店	台北市萬華區環河南路一段246號	25.0460832	121.5030079				
北大生活五金百貨	4.4	139	五金用品店	新北市三峽區國際一街34號	24.9427343	121.3734666				
漢昇五金超市（三峽五金行-建築五金-家庭五金-板模五金-水電材料-土木五金-$	4.2	516	五金用品店	新北市三峽區中正路一段396-1號	24.9230735	121.3706401				
瑞誠五金行	4.4	92	五金用品店	新北市三峽區介壽路一段141號	24.9317024	121.3764586				
聖豐水電五金材料有限公司/三芝水電材料/三芝五金行/三芝衛浴設備	4.7	11	五金用品店	新北市三芝區忠孝街175號 1 樓	25.261561	121.505436				
金寶發號五金行	4.4	15	五金用品店	新北市三芝區中山路1段88巷3號	25.2566364	121.5025092				
SHOWBA小北百貨 新北三重店	4.1	2	五金用品店	新北市三重區重陽路四段27號	25.069385	121.4914993				
